typeID;typeName;published
458;"Heavy Pulse Laser I";1
459;"Heavy Beam Laser I";1
460;"Dual Heavy Pulse Laser I";1
461;"Dual Heavy Beam Laser I";1
462;"Mega Pulse Laser I";1
463;"Mega Beam Laser I";1
464;"Tachyon Beam Laser I";1
482;"Miner II";1
483;"Miner I";1
484;"125mm Gatling AutoCannon I";1
485;"150mm Light AutoCannon I";1
486;"200mm AutoCannon I";1
487;"250mm Light Artillery Cannon I";1
488;"280mm Howitzer Artillery I";1
489;"Dual 180mm AutoCannon I";1
490;"220mm Vulcan AutoCannon I";1
491;"425mm AutoCannon I";1
492;"650mm Artillery Cannon I";1
493;"720mm Howitzer Artillery I";1
494;"Dual 425mm AutoCannon I";1
495;"Dual 650mm Repeating Cannon I";1
496;"800mm Repeating Cannon I";1
497;"1200mm Artillery Cannon I";1
498;"1400mm Howitzer Artillery I";1
499;"Light Missile Launcher I";1
501;"Heavy Missile Launcher I";1
503;"Torpedo Launcher I";1
506;"'Basic' Capacitor Power Relay";1
508;"'Basic' Shield Flux Coil";1
509;"'Basic' Capacitor Flux Coil";1
518;"'Basic' Gyrostabilizer";1
519;"Gyrostabilizer II";1
520;"Gyrostabilizer I";1
521;"'Basic' Damage Control";1
522;"'Micro' Cap Battery";1
523;"Small Armor Repairer I";1
524;"Small Hull Repairer I";1
526;"Stasis Webifier I";1
527;"Stasis Webifier II";1
529;"Small Remote Capacitor Transmitter I";1
530;"Small Energy Nosferatu I";1
533;"Small Energy Neutralizer I";1
561;"75mm Gatling Rail I";1
562;"Light Electron Blaster I";1
563;"Light Ion Blaster I";1
564;"Light Neutron Blaster I";1
565;"150mm Railgun I";1
566;"Heavy Electron Blaster I";1
567;"Dual 150mm Railgun I";1
568;"Heavy Neutron Blaster I";1
569;"Heavy Ion Blaster I";1
570;"250mm Railgun I";1
571;"Electron Blaster Cannon I";1
572;"Dual 250mm Railgun I";1
573;"Neutron Blaster Cannon I";1
574;"425mm Railgun I";1
575;"Ion Blaster Cannon I";1
577;"Medium Capacitor Booster I";1
578;"Multispectrum Shield Hardener I";1
580;"Burst Jammer I";1
581;"Passive Targeter I";1
582;Bantam;1
583;Condor;1
584;Griffin;1
585;Slasher;1
586;Probe;1
587;Rifter;1
588;Reaper;1
589;Executioner;1
590;Inquisitor;1
591;Tormentor;1
592;Navitas;1
593;Tristan;1
594;Incursus;1
595;"Gallente Police Ship";0
596;Impairor;1
597;Punisher;1
598;Breacher;1
599;Burst;1
600;"Minmatar Peacekeeper Ship";0
601;Ibis;1
602;Kestrel;1
603;Merlin;1
605;Heron;1
606;Velator;1
607;Imicus;1
608;Atron;1
609;Maulus;1
613;Devourer;0
614;Fury;0
615;Immolator;1
616;Medusa;0
617;Echo;1
618;Lynx;0
619;Swordspine;0
620;Osprey;1
621;Caracal;1
622;Stabber;1
623;Moa;1
624;Maller;1
625;Augoror;1
626;Vexor;1
627;Thorax;1
628;Arbitrator;1
629;Rupture;1
630;Bellicose;1
631;Scythe;1
632;Blackbird;1
633;Celestis;1
634;Exequror;1
635;"Opux Luxury Yacht";1
638;Raven;1
639;Tempest;1
640;Scorpion;1
641;Megathron;1
642;Apocalypse;1
643;Armageddon;1
644;Typhoon;1
645;Dominix;1
648;Badger;1
649;Tayra;1
650;Nereus;1
651;Hoarder;1
652;Mammoth;1
653;Wreathe;1
654;Kryos;1
655;Epithal;1
656;Miasmos;1
657;"Iteron Mark V";1
670;Capsule;0
671;Erebus;1
672;"Caldari Shuttle";1
681;"Clone Grade Beta Blueprint";0
682;"Clone Grade Gamma Blueprint";0
683;"Bantam Blueprint";1
684;"Condor Blueprint";1
685;"Griffin Blueprint";1
686;"Osprey Blueprint";1
687;"Caracal Blueprint";1
688;"Raven Blueprint";1
689;"Slasher Blueprint";1
690;"Probe Blueprint";1
691;"Rifter Blueprint";1
692;"Stabber Blueprint";1
693;"Tempest Blueprint";1
784;"Miner II Blueprint";1
785;"Miner I Blueprint";1
786;"Light Missile Launcher I Blueprint";1
788;"Heavy Missile Launcher I Blueprint";1
790;"Torpedo Launcher I Blueprint";1
803;"Mjolnir Cruise Missile Blueprint";1
804;"Scourge Cruise Missile Blueprint";1
805;"Inferno Cruise Missile Blueprint";1
806;"Nova Cruise Missile Blueprint";1
807;"Nova Heavy Missile Blueprint";1
808;"Mjolnir Heavy Missile Blueprint";1
809;"Inferno Heavy Missile Blueprint";1
810;"Scourge Heavy Missile Blueprint";1
811;"Scourge Light Missile Blueprint";1
812;"Inferno Light Missile Blueprint";1
813;"Mjolnir Light Missile Blueprint";1
814;"Nova Light Missile Blueprint";1
819;"125mm Gatling AutoCannon I Blueprint";1
820;"150mm Light AutoCannon I Blueprint";1
821;"200mm AutoCannon I Blueprint";1
822;"250mm Light Artillery Cannon I Blueprint";1
823;"280mm Howitzer Artillery I Blueprint";1
824;"Dual 180mm AutoCannon I Blueprint";1
825;"220mm Vulcan AutoCannon I Blueprint";1
826;"425mm AutoCannon I Blueprint";1
827;"650mm Artillery Cannon I Blueprint";1
828;"720mm Howitzer Artillery I Blueprint";1
829;"Dual 425mm AutoCannon I Blueprint";1
830;"Dual 650mm Repeating Cannon I Blueprint";1
831;"800mm Repeating Cannon I Blueprint";1
832;"1200mm Artillery Cannon I Blueprint";1
833;"1400mm Howitzer Artillery I Blueprint";1
834;"Gatling Pulse Laser I Blueprint";1
835;"Dual Light Pulse Laser I Blueprint";1
836;"Dual Light Beam Laser I Blueprint";1
837;"Small Focused Pulse Laser I Blueprint";1
838;"Small Focused Beam Laser I Blueprint";1
839;"Quad Light Beam Laser I Blueprint";1
840;"Focused Medium Pulse Laser I Blueprint";1
841;"Focused Medium Beam Laser I Blueprint";1
842;"Heavy Pulse Laser I Blueprint";1
843;"Heavy Beam Laser I Blueprint";1
844;"Dual Heavy Pulse Laser I Blueprint";1
845;"Dual Heavy Beam Laser I Blueprint";1
846;"Mega Pulse Laser I Blueprint";1
847;"Mega Beam Laser I Blueprint";1
848;"Tachyon Beam Laser I Blueprint";1
879;"Carbonized Lead S Blueprint";1
880;"Nuclear S Blueprint";1
881;"Proton S Blueprint";1
882;"Depleted Uranium S Blueprint";1
883;"Titanium Sabot S Blueprint";1
884;"Fusion S Blueprint";1
885;"Phased Plasma S Blueprint";1
886;"EMP S Blueprint";1
887;"Carbonized Lead M Blueprint";1
888;"Nuclear M Blueprint";1
889;"Proton M Blueprint";1
890;"Depleted Uranium M Blueprint";1
891;"Titanium Sabot M Blueprint";1
892;"Fusion M Blueprint";1
893;"Phased Plasma M Blueprint";1
894;"EMP M Blueprint";1
895;"Carbonized Lead L Blueprint";1
896;"Nuclear L Blueprint";1
897;"Proton L Blueprint";1
898;"Depleted Uranium L Blueprint";1
899;"Titanium Sabot L Blueprint";1
900;"Fusion L Blueprint";1
901;"Phased Plasma L Blueprint";1
902;"EMP L Blueprint";1
935;"Reaper Blueprint";0
936;"Executioner Blueprint";1
937;"Inquisitor Blueprint";1
938;"Tormentor Blueprint";1
939;"Navitas Blueprint";1
940;"Tristan Blueprint";1
941;"Incursus Blueprint";1
943;"Impairor Blueprint";0
944;"Punisher Blueprint";1
945;"Breacher Blueprint";1
946;"Burst Blueprint";1
947;"Minmatar Peacekeeper Ship Blueprint";0
948;"Ibis Blueprint";0
949;"Kestrel Blueprint";1
950;"Merlin Blueprint";1
952;"Heron Blueprint";1
953;"Velator Blueprint";0
954;"Imicus Blueprint";1
955;"Atron Blueprint";1
956;"Maulus Blueprint";1
960;"Devourer Blueprint";0
961;"Fury Blueprint";0
962;"Immolator Blueprint";0
963;"Medusa Blueprint";0
964;"Echo Blueprint";0
965;"Lynx Blueprint";0
966;"Swordspine Blueprint";0
967;"Caldari Shuttle Blueprint";1
968;"Moa Blueprint";1
969;"Maller Blueprint";1
970;"Augoror Blueprint";1
971;"Vexor Blueprint";1
972;"Thorax Blueprint";1
973;"Arbitrator Blueprint";1
974;"Rupture Blueprint";1
975;"Bellicose Blueprint";1
976;"Scythe Blueprint";1
977;"Blackbird Blueprint";1
978;"Celestis Blueprint";1
979;"Exequror Blueprint";1
983;"Badger Blueprint";1
984;"Tayra Blueprint";1
985;"Nereus Blueprint";1
986;"Hoarder Blueprint";1
987;"Mammoth Blueprint";1
988;"Wreathe Blueprint";1
989;"Kryos Blueprint";1
990;"Epithal Blueprint";1
991;"Miasmos Blueprint";1
992;"Iteron Mark V Blueprint";1
994;"Scorpion Blueprint";1
995;"Megathron Blueprint";1
996;"Apocalypse Blueprint";1
997;"Armageddon Blueprint";1
998;"Typhoon Blueprint";1
999;"Dominix Blueprint";1
1002;"Erebus Blueprint";1
1010;"Small Shield Extender I Blueprint";1
1013;"Small Shield Extender II Blueprint";1
1026;"Shield Recharger I Blueprint";1
1027;"Shield Recharger II Blueprint";1
1032;"Small Shield Booster I Blueprint";1
1033;"Small Shield Booster II Blueprint";1
1067;"5MN Microwarpdrive I Blueprint";1
1071;"1MN Afterburner II Blueprint";1
1072;"1MN Afterburner I Blueprint";1
1073;"5MN Microwarpdrive II Blueprint";1
1074;"Cargo Scanner I Blueprint";1
1075;"Ship Scanner I Blueprint";1
1076;"Survey Scanner I Blueprint";1
1079;"Warp Scrambler I Blueprint";1
1080;"Warp Scrambler II Blueprint";1
1095;"Gyrostabilizer II Blueprint";1
1096;"Gyrostabilizer I Blueprint";1
1099;"Small Armor Repairer I Blueprint";1
1100;"Small Hull Repairer I Blueprint";1
1102;"Stasis Webifier I Blueprint";1
1103;"Stasis Webifier II Blueprint";1
1105;"Small Remote Capacitor Transmitter I Blueprint";1
1106;"Small Energy Nosferatu I Blueprint";1
1109;"Small Energy Neutralizer I Blueprint";1
1112;"75mm Gatling Rail I Blueprint";1
1113;"Light Electron Blaster I Blueprint";1
1114;"Light Ion Blaster I Blueprint";1
1115;"Light Neutron Blaster I Blueprint";1
1116;"150mm Railgun I Blueprint";1
1117;"Heavy Electron Blaster I Blueprint";1
1118;"Dual 150mm Railgun I Blueprint";1
1119;"Heavy Neutron Blaster I Blueprint";1
1120;"Heavy Ion Blaster I Blueprint";1
1121;"250mm Railgun I Blueprint";1
1122;"Electron Blaster Cannon I Blueprint";1
1123;"Dual 250mm Railgun I Blueprint";1
1124;"Neutron Blaster Cannon I Blueprint";1
1125;"425mm Railgun I Blueprint";1
1126;"Ion Blaster Cannon I Blueprint";1
1128;"Medium Capacitor Booster I Blueprint";1
1129;"Multispectrum Shield Hardener I Blueprint";1
1130;"Iron Charge S Blueprint";1
1131;"Tungsten Charge S Blueprint";1
1132;"Iridium Charge S Blueprint";1
1133;"Lead Charge S Blueprint";1
1134;"Thorium Charge S Blueprint";1
1135;"Uranium Charge S Blueprint";1
1136;"Plutonium Charge S Blueprint";1
1137;"Antimatter Charge S Blueprint";1
1138;"Iron Charge M Blueprint";1
1139;"Tungsten Charge M Blueprint";1
1140;"Iridium Charge M Blueprint";1
1141;"Lead Charge M Blueprint";1
1142;"Thorium Charge M Blueprint";1
1143;"Uranium Charge M Blueprint";1
1144;"Plutonium Charge M Blueprint";1
1145;"Antimatter Charge M Blueprint";1
1146;"Iron Charge L Blueprint";1
1147;"Tungsten Charge L Blueprint";1
1148;"Iridium Charge L Blueprint";1
1149;"Lead Charge L Blueprint";1
1150;"Thorium Charge L Blueprint";1
1151;"Uranium Charge L Blueprint";1
1152;"Plutonium Charge L Blueprint";1
1153;"Antimatter Charge L Blueprint";1
1154;"Radio S Blueprint";1
1155;"Microwave S Blueprint";1
1156;"Infrared S Blueprint";1
1157;"Standard S Blueprint";1
1158;"Ultraviolet S Blueprint";1
1159;"Xray S Blueprint";1
1160;"Gamma S Blueprint";1
1161;"Multifrequency S Blueprint";1
1162;"Radio M Blueprint";1
1163;"Microwave M Blueprint";1
1164;"Infrared M Blueprint";1
1165;"Standard M Blueprint";1
1166;"Ultraviolet M Blueprint";1
1167;"Xray M Blueprint";1
1168;"Gamma M Blueprint";1
1169;"Multifrequency M Blueprint";1
1170;"Radio L Blueprint";1
1171;"Microwave L Blueprint";1
1172;"Infrared L Blueprint";1
1173;"Standard L Blueprint";1
1174;"Ultraviolet L Blueprint";1
1175;"Xray L Blueprint";1
1176;"Gamma L Blueprint";1
1177;"Multifrequency L Blueprint";1
1178;"Cap Booster 25 Blueprint";1
1179;"Cap Booster 50 Blueprint";1
1182;"Auto Targeting System I";1
1183;"Small Armor Repairer II";1
1184;"Small Armor Repairer II Blueprint";1
1185;"Small Cap Battery I";1
1186;"Small Cap Battery I Blueprint";1
1190;"Small Remote Capacitor Transmitter II";1
1191;"Small Remote Capacitor Transmitter II Blueprint";1
1192;"'Basic' Overdrive Injector System";1
1193;"'Basic' EM Coating";1
1194;"Amarr Sentry Gun";0
1195;"Cap Recharger I";1
1196;"Cap Recharger I Blueprint";1
1197;"EM Coating I";1
1198;"EM Coating II";1
1201;"Wasp I";1
1202;"Civilian Mining Drone";1
1204;"EM Coating I Blueprint";1
1205;"EM Coating II Blueprint";1
1208;"Auto Targeting System I Blueprint";1
1210;"Burst Jammer I Blueprint";1
1212;"Passive Targeter I Blueprint";1
1214;"Wasp I Blueprint";1
1216;"Mjolnir Auto-Targeting Light Missile I Blueprint";1
1217;"Python Mine Blueprint";0
1218;"Civilian Mining Drone Blueprint";1
1220;"Scourge Rocket Blueprint";1
1221;"Scourge Torpedo Blueprint";1
1223;Bistot;1
1224;Pyroxeres;1
1225;Crokite;1
1226;Jaspet;1
1227;Omber;1
1228;Scordite;1
1229;Gneiss;1
1230;Veldspar;1
1231;Hemorphite;1
1232;"Dark Ochre";1
1233;"Polaris Enigma Frigate";0
1236;"Overdrive Injector System II";1
1237;"Overdrive Injector System II Blueprint";1
1240;"'Basic' Reinforced Bulkheads";1
1242;"'Basic' Nanofiber Internal Structure";1
1244;"Overdrive Injector System I";1
1245;"Overdrive Injector System I Blueprint";1
1246;"Capacitor Flux Coil I";1
1247;"Capacitor Flux Coil I Blueprint";1
1248;"Capacitor Flux Coil II";1
1249;"Capacitor Flux Coil II Blueprint";1
1254;"Shield Flux Coil I";1
1255;"Shield Flux Coil I Blueprint";1
1256;"Shield Flux Coil II";1
1257;"Shield Flux Coil II Blueprint";1
1262;"'Basic' Explosive Coating";1
1264;"Explosive Coating I";1
1265;"Explosive Coating I Blueprint";1
1266;"Explosive Coating II";1
1267;"Explosive Coating II Blueprint";1
1272;"'Basic' Layered Coating";1
1274;"Layered Coating I";1
1275;"Layered Coating I Blueprint";1
1276;"Layered Coating II";1
1277;"Layered Coating II Blueprint";1
1282;"'Basic' Kinetic Coating";1
1284;"Kinetic Coating I";1
1285;"Kinetic Coating I Blueprint";1
1286;"Kinetic Coating II";1
1287;"Kinetic Coating II Blueprint";1
1292;"'Basic' Thermal Coating";1
1294;"Thermal Coating I";1
1295;"Thermal Coating I Blueprint";1
1296;"Thermal Coating II";1
1297;"Thermal Coating II Blueprint";1
1302;"'Basic' Multispectrum Coating";1
1304;"Multispectrum Coating I";1
1305;"Multispectrum Coating I Blueprint";1
1306;"Multispectrum Coating II";1
1307;"Multispectrum Coating II Blueprint";1
1315;"'Basic' Expanded Cargohold";1
1317;"Expanded Cargohold I";1
1318;"Expanded Cargohold I Blueprint";1
1319;"Expanded Cargohold II";1
1320;"Expanded Cargohold II Blueprint";1
1333;"Reinforced Bulkheads I";1
1334;"Reinforced Bulkheads I Blueprint";1
1335;"Reinforced Bulkheads II";1
1336;"Reinforced Bulkheads II Blueprint";1
1351;"'Basic' Reactor Control Unit";1
1353;"Reactor Control Unit I";1
1354;"Reactor Control Unit I Blueprint";1
1355;"Reactor Control Unit II";1
1356;"Reactor Control Unit II Blueprint";1
1373;CharacterType;0
1374;CharacterLegacy10;0
1375;CharacterLegacy3;0
1376;CharacterLegacy4;0
1377;CharacterLegacy5;0
1378;CharacterLegacy6;0
1379;CharacterLegacy11;0
1380;CharacterLegacy2;0
1381;CharacterLegacy12;0
1382;CharacterLegacy9;0
1383;CharacterLegacy1;0
1384;CharacterLegacy7;0
1385;CharacterLegacy8;0
1386;CharacterLegacy13;0
1401;"'Basic' Inertial Stabilizers";1
1403;"Inertial Stabilizers I";1
1404;"Inertial Stabilizers I Blueprint";1
1405;"Inertial Stabilizers II";1
1406;"Inertial Stabilizers II Blueprint";1
1419;"'Basic' Shield Power Relay";1
1422;"Shield Power Relay II";1
1423;"Shield Power Relay II Blueprint";1
1436;"Auto Targeting System II";1
1437;"Auto Targeting System II Blueprint";1
1445;"Capacitor Power Relay I";1
1446;"Capacitor Power Relay I Blueprint";1
1447;"Capacitor Power Relay II";1
1448;"Capacitor Power Relay II Blueprint";1
1529;"Caldari Administrative Station";0
1530;"Caldari Research Station";0
1531;"Caldari Trading Station";0
1537;"'Basic' Power Diagnostic System";1
1539;"Power Diagnostic System I";1
1540;"Power Diagnostic System I Blueprint";1
1541;"Power Diagnostic System II";1
1542;"Power Diagnostic System II Blueprint";1
1547;"Small Proton Smartbomb I";1
1548;"Small Proton Smartbomb I Blueprint";1
1549;"Small Proton Smartbomb II";1
1550;"Small Proton Smartbomb II Blueprint";1
1551;"Small Graviton Smartbomb I";1
1552;"Small Graviton Smartbomb I Blueprint";1
1553;"Small Graviton Smartbomb II";1
1554;"Small Graviton Smartbomb II Blueprint";1
1557;"Small Plasma Smartbomb I";1
1558;"Small Plasma Smartbomb I Blueprint";1
1559;"Small Plasma Smartbomb II";1
1560;"Small Plasma Smartbomb II Blueprint";1
1563;"Small EMP Smartbomb I";1
1564;"Small EMP Smartbomb I Blueprint";1
1565;"Small EMP Smartbomb II";1
1566;"Small EMP Smartbomb II Blueprint";1
1601;"Amarr Bonus";0
1602;"Ni-Kunni Bonus";0
1603;"Civire Bonus";0
1604;"Deteis Bonus";0
1605;"Gallente Bonus";0
1606;"Intaki Bonus";0
1607;"Sebiestor Bonus";0
1608;"Brutor Bonus";0
1611;"Computer Empathy Bonus";0
1612;"Ordered Mind Bonus";0
1613;"Standard DNA Pattern Bonus";0
1614;"Killer Instinct Bonus";0
1615;"Deft Hands Bonus";0
1616;"Structural Understanding Bonus";0
1617;"Creative Bonus";0
1618;"Glib Tongue Bonus";0
1619;"August Demeanor Bonus";0
1620;"Superior Motion Sense Bonus";0
1621;"High-G Tolerance Bonus";0
1622;"Vector Reckoning Bonus";0
1623;"Stratum Form Feel Bonus";0
1624;"Doctrine Ingrained Bonus";0
1625;"Three Dimensional Thinking Bonus";0
1626;"Swift Neural Grafting Bonus";0
1627;"Booster Immunity Bonus";0
1628;"Algiophobia Bonus";0
1629;"Barophobia Bonus";0
1630;"Cenophobia Bonus";0
1631;"Claustrophobia Bonus";0
1632;"Monophobia Bonus";0
1633;"Mysophobia Bonus";0
1634;"Taphephobia Bonus";0
1635;"Xenophobia Bonus";0
1636;"Mechanical Inaptitude Bonus";0
1639;"Weak Double-helix Bond Bonus";0
1640;"Short Attention Span Bonus";0
1641;"Wasteful Bonus";0
1642;"Trigger-happy Bonus";0
1643;"Epileptic Bonus";0
1644;"Strong Immunity System Bonus";0
1650;"Amarr Military Academy Pilot Bonus";0
1651;"Amarr Military Academy Gunner Bonus";0
1652;"Amarr Technical School Engineering Bonus";0
1653;"Amarr Technical School Electronics Bonus";0
1654;"Amarr Business School Commerce Bonus";0
1655;"Amarr Business School Industry Bonus";0
1657;"Caldari Military Academy Pilot Bonus";0
1658;"Caldari Military Academy Gunner Bonus";0
1659;"Caldari Technical School Engineering Bonus";0
1660;"Caldari Technical School Electronics Bonus";0
1661;"Caldari Business School Commerce Bonus";0
1662;"Caldari Business School Industry Bonus";0
1663;"Gallente Military Academy Pilot Bonus";0
1664;"Gallente Military Academy Gunner Bonus";0
1665;"Gallente Technical School Engineering Bonus";0
1666;"Gallente Technical School Electronics Bonus";0
1667;"Gallente Business School Commerce Bonus";0
1668;"Gallente Business School Industry Bonus";0
1669;"Minmatar Military Academy Pilot Bonus";0
1670;"Minmatar Military Academy Gunner Bonus";0
1671;"Minmatar Technical School Engineering Bonus";0
1672;"Minmatar Technical School Electronic Bonus";0
1673;"Minmatar Business School Commerce Bonus";0
1674;"Minmatar Business School Industry Bonus";0
1675;"Bounty Hunter Bonus";0
1676;"Scientist Bonus";0
1677;"Industrialist Bonus";0
1678;"Corporate Magnate Bonus";0
1679;"Covert-op Bonus";0
1680;"Navy Captain Bonus";0
1798;"'Basic' EM Shield Amplifier";1
1800;"'Basic' Thermal Shield Amplifier";1
1802;"'Basic' Kinetic Shield Amplifier";1
1804;"'Basic' Explosive Shield Amplifier";1
1808;"EM Shield Amplifier I";1
1809;"EM Shield Amplifier I Blueprint";1
1810;"Scourge Auto-Targeting Light Missile I";1
1811;"Scourge Auto-Targeting Light Missile I Blueprint";1
1814;"Nova Auto-Targeting Light Missile I";1
1815;"Nova Auto-Targeting Light Missile I Blueprint";1
1816;"Inferno Auto-Targeting Light Missile I";1
1817;"Inferno Auto-Targeting Light Missile I Blueprint";1
1818;"Scourge Auto-Targeting Heavy Missile I";1
1819;"Scourge Auto-Targeting Heavy Missile I Blueprint";1
1820;"Mjolnir Auto-Targeting Heavy Missile I";1
1821;"Mjolnir Auto-Targeting Heavy Missile I Blueprint";1
1822;"Nova Auto-Targeting Heavy Missile I";1
1823;"Nova Auto-Targeting Heavy Missile I Blueprint";1
1824;"Inferno Auto-Targeting Heavy Missile I";1
1825;"Inferno Auto-Targeting Heavy Missile I Blueprint";1
1826;"Scourge Auto-Targeting Cruise Missile I";1
1827;"Scourge Auto-Targeting Cruise Missile I Blueprint";1
1828;"Mjolnir Auto-Targeting Cruise Missile I";1
1829;"Mjolnir Auto-Targeting Cruise Missile I Blueprint";1
1830;"Nova Auto-Targeting Cruise Missile I";1
1831;"Nova Auto-Targeting Cruise Missile I Blueprint";1
1832;"Inferno Auto-Targeting Cruise Missile I";1
1833;"Inferno Auto-Targeting Cruise Missile I Blueprint";1
1855;"Ship Scanner II";1
1856;"Ship Scanner II Blueprint";1
1875;"Rapid Light Missile Launcher I";1
1876;"Rapid Light Missile Launcher I Blueprint";1
1877;"Rapid Light Missile Launcher II";1
1878;"Rapid Light Missile Launcher II Blueprint";1
1893;"'Basic' Heat Sink";1
1896;"Concord Police Frigate";0
1898;"Concord SWAT Frigate";0
1900;"Concord Army Frigate";0
1902;"Concord Special Ops Frigate";0
1904;"Concord Police Cruiser";0
1912;"Concord Police Battleship";0
1914;"Concord Special Ops Battleship";0
1916;"Concord SWAT Battleship";0
1918;"Concord Army Battleship";0
1926;"Amarr Station Hub";0
1927;"Amarr Station Military";0
1928;"Amarr Industrial Station";0
1929;"Amarr Standard Station";0
1930;"Amarr Mining Station";0
1931;"Amarr Research Station";0
1932;"Amarr Trade Post";0
1944;Bestower;1
1945;"Bestower Blueprint";1
1946;"Basic RADAR Backup Array";0
1947;"ECCM - Radar I";0
1948;"Magnetometric ECM I";1
1949;"'Basic' Signal Amplifier";1
1951;"'Basic' Tracking Enhancer";1
1952;"Sensor Booster II";1
1955;"Gravimetric ECM I";1
1956;"Radar ECM I";1
1957;"Multispectral ECM I";1
1958;"Ladar ECM I";1
1959;"ECCM Projector I";0
1960;"ECCM Projector II";0
1963;"Remote Sensor Booster I";1
